Lesson ID (hardcoded),Lesson # (1-6),Date Finalized,Revised by,Ready to publish to webpage,Link to folder with updated lesson plan and materials,Notes,Lesson Title,Grade,CT Concept,Subject,Original Author,Original Folder Link,Peer Review,Comments,Has Spanish,Link to English Plan,Link to Spanish Plan,
1,1,,,FALSE,,,Find the Unknown Number - Algorithms,1,Algorithms,Math ,Jen M,folder,,,Yes,,,
2,2,,,FALSE,,,The incase: The Runner - Decomposition,1,Decomposition,Social Studies,Jen M,folder,,,,,,
3,3,,,FALSE,,,Decomposing two-digits numbers into tens and ones,1,Decomposition,Math ,Jen M,folder,,,Yes,,,
4,4,,,FALSE,,,Astronomy,1,Decomposition,Science,Jen M,folder,,,Yes,,,
5,5,,,FALSE,,,Pattern Recognition and Plant Survival,1,Pattern Recognition,Science,Jen M,folder,,,Yes,,,
6,6,,,FALSE,,,Collect and Compare Data,1,Abstraction,Math ,Jen M,folder,,,Yes,,,
7,1,,,FALSE,,,Decomposition of Math Expressions,4,Decomposition,Math ,Trish,folder,,,,,,
8,2,,,FALSE,,lesson plan is empty,Abstraction information from a Text,4,Abstraction,ELA,Trish,folder,,,,,,
9,3,,,FALSE,,,Newspaper Decomposition,4,Decomposition,ELA,Trish,folder,,,,,,
10,4,7/20/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1Vxee6edyJABTf0wtXbc_pRcsoQyoB5IM,,Pattern Recognition in Metric Measurement,4,Pattern Recognition,Math,Trish,folder,,,,https://docs.google.com/document/d/1jxFEjula1ygGDWzJi4rzZHHnwBjHkwi2NZAnsfDwj6s/edit,,
11,5,7/15/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1kA9W0e4tE_cZUB4M55nS6iKlxRg_y3mH,,Rewriting Lewis's Speech,4,Abstraction,Social Studies,Trish,folder,,,,https://docs.google.com/document/d/1q64FSs9KXb0ubYMWcOaGff8qd1ebTcq22Pulf6aMPk8/edit,,
12,6,,,FALSE,,lesson plan is empty,Using an algorithm to understand word problems,4,Algorithms,Math,Trish,folder,,,,,,
13,1,1/5/2026,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1Hw4CruTdugxv5nuH1k0fU224scWW7VyD,,Idioms and Abstraction,4,Abstraction,ELD,Dylana,folder,,,,https://docs.google.com/document/d/1wz-_uGe0K2xVzZGXckDFBvF7Ah_-SZbAge6So_uguJQ/edit,,
14,2,12/23/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1WCSK_ubMj2iTNUCZCm1lTqWlhleZxHn9,,Recipe Algorithm,"2, 3",Algorithms,"ELD, ELA",Dylana,folder,,,,https://docs.google.com/document/d/1w3GFGZcHpaq1g92Sq-Gvzroi7gXzC8vVwjLVrupC5Dg/edit,,
