Lesson ID (hardcoded),Lesson # (1-6),Date Finalized,Revised by,Ready to publish to webpage,Link to folder with updated lesson plan and materials,Notes,Lesson Title,Grade,CT Concept,Subject,Original Author,Original Folder Link,Peer Review,Comments,Has Spanish,Link to English Plan,Link to Spanish Plan
1,1,,,FALSE,,,Find the Unknown Number - Algorithms,1,Algorithms,Math ,Jen M,folder,,,Yes,,,
2,2,,,FALSE,,,The incase: The Runner - Decomposition,1,Decomposition,Social Studies,Jen M,folder,,,,,,
3,3,,,FALSE,,,Decomposing two-digits numbers into tens and ones,1,Decomposition,Math ,Jen M,folder,,,Yes,,,
4,4,,,FALSE,,,Astronomy,1,Decomposition,Science,Jen M,folder,,,Yes,,,
5,5,,,FALSE,,,Pattern Recognition and Plant Survival,1,Pattern Recognition,Science,Jen M,folder,,,Yes,,,
6,6,,,FALSE,,,Collect and Compare Data,1,Abstraction,Math ,Jen M,folder,,,Yes,,,
27,1,,,FALSE,,Will need to dig into changing for copyright,Early understanding of the human body and decomposition of the systems,1,Decomposition,ELA,Amy H.,folder,,,,,,
45,2,,,FALSE,,,Decomposing teen numbers into a ten and some ones,1,Decomposition,Math,Amy H.,folder,,,,,,
63,3,,,FALSE,,,What are living and nonliving things?,1,Algorithms,ELA,Amy H.,Folder,,,,,,
83,4,,,FALSE,,,Diorama of Habitat and Graphic Organizer,1,Abstraction,ELA,Amy H.,Folder,,,,,,
103,5,,,FALSE,,,Planning a Pollinator Garden,1,Algorithms,Math,Amy H.,folder,,,,,,
123,6,,,FALSE,,,Fairy Tales,1,Pattern Recognition,ELA,Amy H.,folder,,,,,,
207,4,,,FALSE,,,Decomposing teen numbers into a ten and some ones,1,Decomposition,Math,Amy Hartley- adapted by Cindy Thomas,https://docs.google.com/document/d/1PuVBcC8wG0YBlzpWC0SwXkzeEpeq-NCndzA_6dWWxgs/edit?usp=sharing,,,,,,
234,5,11/16/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1VSUfnpT4zryW10YK-KbA-6CqEHvCPUbR?usp=drive_link,,Introduction to Algorithms and Debugging,1,Algorithms,ELA,Cindy Thomas,https://docs.google.com/document/d/1XAVmH8C6PKGnBM0ftr_GOk0zgkeFHuNaycb2ROVDDQs/edit?usp=sharing,,,,,,
235,6,11/16/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1ARMvGq08r5n0WOlNQAkonlKVYLe5xCuy?usp=drive_link,,AB and ABC Patterns with Unifix Cubes,1,Pattern Recognition,Math,Cindy Thomas,https://docs.google.com/document/d/1YsG-Vx3f9uIsQd7YIfG3b0-zsJqP0Kvxqb7U2VIe5tY/edit?usp=sharing,,,,,,
